add_time,inviter,level,registerTime,scrollId,state
2020-04-28,"{""wid"": 1734588887}","{""name"": ""微客1级"", ""id"": 60165}",1587037226000,None,2
2020-04-28,"{""wid"": None}","{""name"": ""微客1级"", ""id"": 60165}",1587037198000,None,2
2020-04-28,"{""wid"": 1734588887}","{""name"": ""微客1级"", ""id"": 60165}",1587037260000,None,2
2020-04-28,"{""wid"": 1747274442}","{""name"": ""微客1级"", ""id"": 60165}",1586942710000,None,2
2020-04-28,"{""wid"": 1734588887}","{""name"": ""微客1级"", ""id"": 60165}",1587041104000,None,2
2020-04-28,"{""wid"": 1734588887}","{""name"": ""微客1级"", ""id"": 60165}",1587041028000,None,2
2020-04-28,"{""wid"": None}","{""name"": ""微客1级"", ""id"": 60165}",1587039642000,None,2
2020-04-28,"{""wid"": 1734588887}","{""name"": ""微客1级"", ""id"": 60165}",1587040932000,None,2
2020-04-28,"{""wid"": None}","{""name"": ""微客1级"", ""id"": 60165}",1587037243000,None,2
2020-04-28,"{""wid"": None}","{""name"": ""微客1级"", ""id"": 60165}",1587038900000,None,2
2020-04-28,"{""wid"": 1734588887}","{""name"": ""微客1级"", ""id"": 60165}",1587040402000,None,2
2020-04-28,"{""wid"": 1747274442}","{""name"": ""微客1级"", ""id"": 60165}",1587031397000,None,2
2020-04-28,"{""wid"": None}","{""name"": ""微客1级"", ""id"": 60165}",1587037782000,None,2
2020-04-28,"{""wid"": 1747274442}","{""name"": ""微客1级"", ""id"": 60165}",1586937259000,None,2
2020-04-28,"{""wid"": None}","{""name"": ""微客1级"", ""id"": 60165}",1587000006000,None,2
2020-04-28,"{""wid"": None}","{""name"": ""微客1级"", ""id"": 60165}",1587038611000,None,2
2020-04-28,"{""wid"": None}","{""name"": ""微客1级"", ""id"": 60165}",1587039704000,None,2
2020-04-28,"{""wid"": 1734588887}","{""name"": ""微客1级"", ""id"": 60165}",1587039202000,None,2
2020-04-28,"{""wid"": None}","{""name"": ""微客1级"", ""id"": 60165}",1587038471000,None,2
2020-04-28,"{""wid"": None}","{""name"": ""微客1级"", ""id"": 60165}",1587037664000,None,2
